,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
IX,GRUIFORMES,,,,,,
,9,Rallidae,,,,,,"Rails, Crakes & Coots"
,,,72,Rallus,aquaticus,,Rascló,Water Rail
,,,73,Crex,crex,,Guatlla maresa,Corn Crake
,,,74,Porzana,parva,,Rascletó,Little Crake
,,,75,Porzana,pusilla,,Rasclet,Baillon’s Crake
,,,76,Porzana,porzana,,Polla pintada,Spotted Crake
,,,77,Porphyrio,porphyrio,,Polla blava,Western Swamphen
,,,78,Porphyrio,alleni,,Polla blava d’Allen,Allen’s Gallinule
,,,79,Gallinula,chloropus,,Polla d’aigua,Common Moorhen
,,,80,Paragallinula,angulata,,Polla menuda,Lesser Moorhen
,,,81,Fulica,cristata,,Fotja banyuda,Red-knobbed Coot
,,,82,Fulica,atra,,Fotja comuna,Eurasian Coot
,,,,,,,,
,10,Gruidae,,,,,,Cranes
,,,83,Grus,grus,,Grua,Common Crane
,,,,,,,,
X,PODICIPEDIFORMES,,,,,,
,11,Podicipedidae,,,,,,Grebes
,,,84,Tachybaptus,ruficollis,,Cabusset,Little Grebe
,,,85,Podiceps,grisegena,,Cabussó gris,Red-necked Grebe
,,,86,Podiceps,cristatus,,Cabussó emplomallat,Great Crested Grebe
,,,87,Podiceps,auritus,,Cabussó orellut,Horned Grebe
,,,88,Podiceps,nigricollis,,Cabussó collnegre,Black-necked Grebe
,,,,,,,,
XI,PHOENICOPTERIFORMES,,,,,
,12,Phoenicopteridae,,,,,Flamingos
,,,89,Phoenicopterus,roseus,,Flamenc rosat,Greater Flamingo
,,,90,Phoeniconaias,minor,,Flamenc menut,Lesser Flamingo
,,,,,,,,
XII,CHARADRIIFORMES,,,,,,
,13,Burhinidae,,,,,,"Stone-curlews, Thick-knees"
,,,91,Burhinus,oedicnemus,,Torlit,Eurasian Stone-curlew
,,,,,,,,
,14,Haematopodidae,,,,,,Oystercatchers
,,,92,Haematopus,ostralegus,,Garsa de mar,Eurasian Oystercatcher
,,,,,,,,
,15,Recurvirostridae,,,,,,"Stilts, Avocets"
,,,93,Himantopus,himantopus,,Cames llargues,Black-winged Stilt
,,,94,Recurvirostra,avosetta,,Bec d’alena,Pied Avocet
,,,,,,,,
,16,Charadriidae,,,,,,Plovers
,,,95,Vanellus,vanellus,,Fredeluga,Northern Lapwing
,,,96,Vanellus,gregarius,,Fredeluga gregària,Sociable Lapwing
,,,97,Pluvialis,apricaria,,Daurada grossa,European Golden Plover
,,,98,Pluvialis,fulva,,Daurada petita del Pacífic,Pacific Golden Plover
,,,99,Pluvialis,dominica,,Daurada petita americana,American Golden Plover
,,,100,Pluvialis,squatarola,,Pigre gris,Grey Plover
,,,101,Charadrius,hiaticula,,Corriol gros,Common Ringed Plover
,,,102,Charadrius,dubius,,Corriol petit,Little Ringed Plover
,,,103,Charadrius,alexandrinus,,Corriol camanegre,Kentish Plover
,,,104,Charadrius,leschenaultii,,Corriol de Leschenault,Greater Sand Plover
,,,105,Charadrius,morinellus,,Corriol pit-roig,Eurasian Dotterel
,,,,,,,,
,17,Scolopacidae,,,,,,"Sandpipers, Snipes"
,,,106,Numenius,phaeopus,,Pòlit cantaire,Eurasian Whimbrel
,,,107,Numenius,arquata,,Becut,Eurasian Curlew
